[2023-09-29 17:14:35][127.0.0.1] 200 - GET /
[2023-10-01 16:08:12][127.0.0.1] 404 - GET /api/link/1
[2023-10-01 16:08:29][127.0.0.1] 404 - GET /api/link/1
[2023-10-01 16:08:38][127.0.0.1] 404 - POST /api/link
[2023-10-01 16:09:02][127.0.0.1] 200 - POST /api/auth/register
[2023-10-01 16:09:20][127.0.0.1] 404 - GET /api/link/1
[2023-10-01 16:09:22][127.0.0.1] 404 - POST /api/link
[2023-10-01 16:10:27][127.0.0.1] 404 - POST /api/category
[2023-10-01 16:10:48][127.0.0.1] 401 - POST /api/categories
[2023-10-01 16:11:04][127.0.0.1] 200 - GET /api/links/1
[2023-10-01 16:11:47][127.0.0.1] 404 - GET /api/links/1
[2023-10-01 16:11:51][127.0.0.1] 200 - POST /api/links
[2023-10-01 16:11:56][127.0.0.1] 404 - GET /api/links/1
[2023-10-01 16:12:08][127.0.0.1] 404 - GET /api/links/2
[2023-10-01 16:12:10][127.0.0.1] 404 - GET /api/links/3
[2023-10-01 16:12:13][127.0.0.1] 404 - GET /api/links/4
[2023-10-01 16:12:15][127.0.0.1] 404 - GET /api/links/5
[2023-10-01 16:12:17][127.0.0.1] 404 - GET /api/links/6
[2023-10-01 16:12:19][127.0.0.1] 404 - GET /api/links/7
[2023-10-01 16:12:20][127.0.0.1] 404 - GET /api/links/8
[2023-10-01 16:12:22][127.0.0.1] 404 - GET /api/links/9
[2023-10-01 16:12:40][127.0.0.1] 404 - GET /api/links/1
[2023-10-01 16:13:21][127.0.0.1] 200 - GET /api/links/1
[2023-10-01 16:35:32][127.0.0.1] 500 - POST /api/links
[2023-10-01 16:35:42][127.0.0.1] 500 - POST /api/links/
[2023-10-01 16:36:12][127.0.0.1] 500 - POST /api/links/
[2023-10-01 16:36:18][127.0.0.1] 200 - GET /api/links/1
[2023-10-01 16:36:27][127.0.0.1] 500 - POST /api/links
[2023-10-01 16:36:36][127.0.0.1] 500 - POST /api/links
[2023-10-01 16:36:42][127.0.0.1] 500 - POST /api/links
[2023-10-01 16:37:12][127.0.0.1] 200 - GET /api/links
[2023-10-02 17:45:57][127.0.0.1] 200 - GET /api/links
[2023-10-02 17:46:06][127.0.0.1] 200 - POST /api/links
[2023-10-02 17:46:08][127.0.0.1] 200 - GET /api/links
[2023-10-02 17:46:23][127.0.0.1] 404 - PATCH /api/link/2
[2023-10-02 17:46:33][127.0.0.1] 401 - PATCH /api/links/2
[2023-10-02 17:46:41][127.0.0.1] 200 - POST /api/auth/login
[2023-10-02 20:22:41][127.0.0.1] 404 - PATCH /api/links/2
[2023-10-02 20:52:32][127.0.0.1] 404 - PATCH /api/links/2
[2023-10-02 20:53:22][127.0.0.1] 200 - PATCH /api/links/2
[2023-10-02 20:53:41][127.0.0.1] 200 - PATCH /api/links/2
